occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
away,1200,t90_w,400,1,229.7,0.191,197.2,0.0,32.5,29.2,1.0000,0.9859,79,80
away,1200,t90_w,400,2,229.7,0.191,197.2,0.0,32.5,29.2,1.0000,0.9859,79,80
away,1200,t90_w,800,0,459.3,0.383,289.4,170.0,0.0,0.0,0.6299,0.6299,101,161
away,1200,t90_w,800,1,459.3,0.383,289.4,6.3,163.7,147.3,0.9863,0.9507,153,161
away,1200,t90_w,800,2,459.3,0.383,289.4,0.0,170.0,153.0,1.0000,0.9630,155,161
away,1200,t90_w,1200,0,689.0,0.574,347.9,341.1,0.0,0.0,0.5050,0.5050,122,241
away,1200,t90_w,1200,1,689.0,0.574,347.9,90.5,250.5,225.5,0.8686,0.8323,201,241
away,1200,t90_w,1200,2,689.0,0.574,347.9,7.8,333.2,299.9,0.9887,0.9403,227,241
away,1200,t90_w,1600,0,918.7,0.766,389.1,529.6,0.0,0.0,0.4235,0.4235,136,322
away,1200,t90_w,1600,1,918.7,0.766,389.1,238.5,291.1,262.0,0.7404,0.7087,228,322
away,1200,t90_w,1600,2,918.7,0.766,389.1,81.3,448.3,403.4,0.9115,0.8627,277,322
away,1700,t90_s,400,0,336.5,0.198,275.9,60.6,0.0,0.0,0.8199,0.8199,97,118
away,1700,t90_s,400,1,336.5,0.198,275.9,1.0,59.6,53.6,0.9970,0.9793,115,118
away,1700,t90_s,400,2,336.5,0.198,275.9,0.0,60.6,54.5,1.0000,0.9820,116,118
away,1700,t90_s,800,0,673.0,0.396,380.3,292.7,0.0,0.0,0.5651,0.5651,133,236
away,1700,t90_s,800,1,673.0,0.396,380.3,106.1,186.6,168.0,0.8424,0.8146,192,236
away,1700,t90_s,800,2,673.0,0.396,380.3,25.0,267.8,241.0,0.9629,0.9231,217,236
away,1700,t90_s,1200,0,1009.5,0.594,433.6,575.9,0.0,0.0,0.4295,0.4295,152,353
away,1700,t90_s,1200,1,1009.5,0.594,433.6,313.8,262.1,235.9,0.6891,0.6632,234,353
away,1700,t90_s,1200,2,1009.5,0.594,433.6,168.9,407.0,366.3,0.8326,0.7923,280,353
away,1700,t90_s,1600,0,1346.0,0.792,468.7,877.4,0.0,0.0,0.3482,0.3482,164,471
